"filename", "language", "Go", "comment", "blank", "total"
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/cmd/cli.go", "Go", 231, 12, 24, 267
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/cmd/main.go", "Go", 38, 3, 8, 49
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/cmd/node.go", "Go", 64, 5, 11, 80
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/rip/rip.go", "Go", -257, -40, -59, -356
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/accept.go", "Go", -92, -16, -18, -126
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/close.go", "Go", -4, -4, -2, -10
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/common.go", "Go", -40, -4, -12, -56
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/connect.go", "Go", -98, -10, -14, -122
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/heap.go", "Go", -39, -5, -10, -54
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/listen.go", "Go", -21, -3, -7, -31
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/read.go", "Go", -27, -4, -4, -35
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/socket.go", "Go", -172, -33, -47, -252
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/tcp.go", "Go", -95, -8, -18, -121
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/types.go", "Go", -61, -3, -11, -75
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/write.go", "Go", -39, -5, -8, -52
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/testprotocol/testprotocol.go", "Go", -22, 0, -6, -28
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/ipinterface/interfacestate.go", "Go", -20, 0, -5, -25
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/ipinterface/intip.go", "Go", -24, -1, -7, -32
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/ipinterface/ipinterface.go", "Go", -53, -1, -12, -66
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/network/fwdtableentry.go", "Go", -19, -2, -4, -25
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/network/network.go", "Go", -199, -20, -47, -266
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/network/printer.go", "Go", -38, 0, -7, -45
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/transport/transport.go", "Go", -52, -2, -11, -65
"Total", "-", -1039, -141, -266, -1446
