"filename", "language", "Makefile", "Markdown", "Go", "C", "Go Module File", "Lua", "Go Checksum File", "C++", "comment", "blank", "total"
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/Makefile", "Makefile", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/README.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/go.mod", "Go Module File", 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/go.sum", "Go Checksum File", 0, 0, 0, 0, 0, 0, 32, 0, 0, 1, 33
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/lab2/lab.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/milestone.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/rip/rip.go", "Go", 0, 0, 257, 0, 0, 0, 0, 0, 40, 59, 356
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/accept.go", "Go", 0, 0, 92, 0, 0, 0, 0, 0, 16, 18, 126
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/close.go", "Go", 0, 0, 4, 0, 0, 0, 0, 0, 4, 2, 10
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/common.go", "Go", 0, 0, 40, 0, 0, 0, 0, 0, 4, 12, 56
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/connect.go", "Go", 0, 0, 98, 0, 0, 0, 0, 0, 10, 14, 122
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/heap.go", "Go", 0, 0, 39, 0, 0, 0, 0, 0, 5, 10, 54
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/listen.go", "Go", 0, 0, 21, 0, 0, 0, 0, 0, 3, 7, 31
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/read.go", "Go", 0, 0, 27, 0, 0, 0, 0, 0, 4, 4, 35
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/socket.go", "Go", 0, 0, 172, 0, 0, 0, 0, 0, 33, 47, 252
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/tcp.go", "Go", 0, 0, 95, 0, 0, 0, 0, 0, 8, 18, 121
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/types.go", "Go", 0, 0, 61, 0, 0, 0, 0, 0, 3, 11, 75
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/tcp/write.go", "Go", 0, 0, 39, 0, 0, 0, 0, 0, 5, 8, 52
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/applications/testprotocol/testprotocol.go", "Go", 0, 0, 22, 0, 0, 0, 0, 0, 0, 6, 28
"/home/rutvik/Desktop/class_stuff/networks/home/ip-tcp-tonkatsu-enchiladas/pkg/ipinterface/interfacestate.go", "Go", 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
